ID_Venta,Fecha,Hora,Sucursal,Nombre_Producto,Categoría_Producto,Tamaño,Cantidad,Precio_Unitario,Total_Venta,Método_de_Compra,Método_de_Pago,Cliente_Miembro,Descuento_Miembro,Promoción_Aplicada,Empleado_Atendió,Turno,Demora_Preparación_Min,Satisfacción_Cliente,Stock_Antes,Stock_Después
VTA00480,2025-01-24,09:23,Calle San Lorenzo 47,Latte Macchiato,Bebida Espresso Caliente,Pequeño,4,1324.24,5296.96,Delivery,App,No,0,Ninguna,Florencia,Tarde,2.1,2,42,38
VTA00481,2025-01-28,16:25,"San Lorenzo 25, Nueva Córdoba",Latte Helado,Bebida Espresso Helada,Pequeño,1,1335.08,1335.08,En tienda,App,No,0,Happy Hour,Florencia,Mañana,10.9,1,38,37
VTA00482,2025-02-02,15:07,Calle San Lorenzo 47,Taza Edición Especial,Merchandising,,1,3283.82,3283.82,En tienda,Tarjeta,No,0,Ninguna,Sofía,Mañana,5.8,4,46,45
VTA00483,2025-01-17,18:14,Calle San Lorenzo 47,Té Verde en Hebras,Té,,5,1732.35,8661.75,En tienda,Tarjeta,No,0,2x1,Camila,Mañana,10.9,1,15,10
VTA00484,2025-01-21,12:04,Avenida Colón 608,Té Helado de Hibiscus,Té Helado,,3,1269.88,3809.64,Take Away,App,Sí,10,Combo,Marcos,Tarde,11.2,2,38,35
VTA00485,2025-02-23,18:19,"San Lorenzo 25, Nueva Córdoba",Termo Reutilizable,Merchandising,,2,2789.11,5578.22,Delivery,App,Sí,10,Combo,Luis,Mañana,7.1,1,27,25
VTA00486,2025-04-17,13:12,Calle San Lorenzo 47,Skinny Vainilla Latte Helado,Bebida Espresso Helada,Tall,5,1485.27,7426.35,Take Away,App,No,0,Ninguna,Julián,Mañana,12.0,2,19,14
VTA00487,2025-03-17,11:38,Avenida Colón 608,Cold Brew,Bebida Espresso Helada,Pequeño,2,1596.27,3192.54,En tienda,App,Sí,15,Combo,Marcos,Noche,7.1,1,34,32
VTA00488,2025-01-25,09:09,"San Lorenzo 25, Nueva Córdoba",Té Helado de Hibiscus,Té Helado,,1,1647.42,1647.42,Take Away,Efectivo,Sí,10,Combo,Florencia,Noche,7.1,1,11,10
VTA00489,2025-03-18,12:49,Calle San Lorenzo 47,Latte Macchiato,Bebida Espresso Caliente,Grande,1,1290.52,1290.52,Take Away,Tarjeta,No,0,Ninguna,Camila,Tarde,13.2,4,36,35
VTA00490,2025-03-04,15:21,Calle San Lorenzo 47,Americano Helado,Bebida Espresso Helada,Pequeño,1,1615.79,1615.79,En tienda,App,Sí,0,Happy Hour,Sofía,Tarde,11.1,1,39,38
VTA00491,2025-01-22,09:47,Calle San Lorenzo 47,Té Chai Latte,Té Caliente,,1,1551.7,1551.7,Take Away,Tarjeta,No,0,Happy Hour,Florencia,Tarde,12.7,3,16,15
VTA00492,2025-03-20,20:02,"San Lorenzo 25, Nueva Córdoba",Budín de Limón,Bakery,,4,908.1,3632.4,Take Away,Tarjeta,Sí,10,Combo,Julián,Mañana,13.8,4,43,39
VTA00493,2025-03-08,19:22,Córdoba Shopping,Cookie con Chips de Chocolate,Bakery,,5,1050.57,5252.85,En tienda,Efectivo,No,0,Happy Hour,Luis,Tarde,12.1,3,41,36
VTA00494,2025-03-29,20:12,Avenida Colón 608,Espresso Roast,Café en Granos,,5,2159.97,10799.85,Take Away,App,Sí,15,Combo,Julián,Tarde,15.0,1,19,14
VTA00495,2025-03-05,11:13,Avenida Colón 608,Skinny Vainilla Latte Helado,Bebida Espresso Helada,Pequeño,1,1735.71,1735.71,En tienda,App,No,0,2x1,Camila,Noche,5.1,4,32,31
VTA00496,2025-02-11,12:45,Córdoba Shopping,Caramel Frappuccino,Frappuccino,Grande,4,1679.6,6718.4,Take Away,App,No,0,Ninguna,Marcos,Mañana,3.5,4,32,28
VTA00497,2025-01-02,16:58,Calle San Lorenzo 47,Vainilla Latte Helado,Bebida Espresso Helada,Grande,2,1312.1,2624.2,En tienda,Efectivo,No,0,2x1,Camila,Mañana,6.7,4,26,24
VTA00498,2025-01-09,08:32,Calle San Lorenzo 47,Cold Brew,Bebida Espresso Helada,Tall,2,1800.98,3601.96,Delivery,App,No,0,Happy Hour,Camila,Noche,5.4,3,40,38
VTA00499,2025-04-10,14:18,"San Lorenzo 25, Nueva Córdoba",Taza Edición Especial,Merchandising,,5,3175.07,15875.35,En tienda,Tarjeta,No,0,Happy Hour,Florencia,Noche,14.9,2,38,33
VTA00500,2025-02-13,16:08,Córdoba Shopping,Té Verde en Hebras,Té,,4,2165.02,8660.08,Delivery,App,Sí,0,Happy Hour,Sofía,Tarde,3.1,4,32,28
VTA00501,2025-02-03,19:56,"San Lorenzo 25, Nueva Córdoba",Cold Brew,Bebida Espresso Helada,Tall,3,1840.13,5520.39,Take Away,Efectivo,No,0,Happy Hour,Julián,Mañana,3.0,2,20,17
VTA00502,2025-03-09,20:43,Córdoba Shopping,Espresso Roast,Café en Granos,,2,2745.09,5490.18,Delivery,Tarjeta,Sí,15,2x1,Luis,Noche,7.3,1,41,39
VTA00503,2025-02-08,19:42,Avenida Colón 608,Moneda de Chocolate,Snacks,,5,988.18,4940.9,En tienda,App,No,0,Happy Hour,Sofía,Noche,13.3,5,50,45
VTA00504,2025-01-21,07:06,Calle San Lorenzo 47,Bagel Sandwich,Sándwiches,,4,1503.14,6012.56,Take Away,Tarjeta,No,0,Combo,Julián,Mañana,3.9,4,47,43
VTA00505,2025-03-03,11:39,"San Lorenzo 25, Nueva Córdoba",Taza Edición Especial,Merchandising,,4,3349.78,13399.12,Take Away,Tarjeta,No,0,Combo,Marcos,Tarde,9.2,3,23,19
VTA00506,2025-02-07,20:38,Calle San Lorenzo 47,Americano Helado,Bebida Espresso Helada,Venti,4,1323.49,5293.96,Take Away,Tarjeta,Sí,10,2x1,Florencia,Tarde,4.5,1,23,19
VTA00507,2025-04-17,17:04,Avenida Colón 608,Café del Día,Bebida Espresso Caliente,Tall,5,1567.43,7837.15,Delivery,App,No,0,Happy Hour,Florencia,Mañana,14.8,5,19,14
VTA00508,2025-02-01,08:14,Calle San Lorenzo 47,Budín de Limón,Bakery,,1,1327.43,1327.43,Take Away,Efectivo,Sí,15,Combo,Marcos,Tarde,2.6,1,14,13
VTA00509,2025-04-12,20:35,Calle San Lorenzo 47,Fosforito de Jamón y Queso,Sándwiches,,4,1966.55,7866.2,Take Away,Tarjeta,No,0,2x1,Sofía,Mañana,7.4,1,27,23
VTA00510,2025-02-24,07:56,Córdoba Shopping,Latte Helado,Bebida Espresso Helada,Pequeño,3,1514.88,4544.64,Take Away,Tarjeta,No,0,Combo,Florencia,Mañana,7.1,5,19,16
VTA00511,2025-01-28,11:37,Avenida Colón 608,Mocha Blanco,Bebida Espresso Caliente,Venti,3,1702.5,5107.5,Delivery,Tarjeta,No,0,2x1,Luis,Mañana,7.8,5,26,23
VTA00512,2025-02-12,11:03,Calle San Lorenzo 47,Té Chai Latte,Té Caliente,,3,1342.27,4026.81,En tienda,Tarjeta,Sí,15,Combo,Julián,Tarde,11.2,2,39,36
VTA00513,2025-03-13,15:00,Calle San Lorenzo 47,Espresso Roast,Café en Granos,,4,2914.92,11659.68,En tienda,App,Sí,0,Ninguna,Camila,Mañana,4.7,4,12,8
VTA00514,2025-03-11,09:05,"San Lorenzo 25, Nueva Córdoba",Americano,Bebida Espresso Caliente,Grande,3,1511.61,4534.83,Take Away,Tarjeta,Sí,10,2x1,Florencia,Tarde,4.2,3,27,24
VTA00515,2025-03-25,19:20,"San Lorenzo 25, Nueva Córdoba",Té Verde en Hebras,Té,,4,1749.38,6997.52,Take Away,Tarjeta,No,0,Ninguna,Luis,Tarde,8.1,4,41,37
VTA00516,2025-04-12,12:07,"San Lorenzo 25, Nueva Córdoba",Skinny Caramel Macchiato,Bebida Espresso Caliente,Venti,2,1404.02,2808.04,Delivery,Efectivo,No,0,Ninguna,Julián,Tarde,4.7,1,19,17
VTA00517,2025-02-12,11:30,Córdoba Shopping,Cookie con Chips de Chocolate,Bakery,,1,1326.9,1326.9,Take Away,Tarjeta,Sí,0,2x1,Florencia,Tarde,5.6,5,31,30
VTA00518,2025-02-28,17:34,Calle San Lorenzo 47,Fosforito de Jamón y Queso,Sándwiches,,1,1901.35,1901.35,En tienda,Tarjeta,No,0,2x1,Julián,Tarde,14.4,3,50,49
VTA00519,2025-01-21,19:18,Calle San Lorenzo 47,Budín de Limón,Bakery,,4,1141.51,4566.04,Take Away,Tarjeta,No,0,Combo,Luis,Noche,6.4,1,28,24
VTA00520,2025-02-09,17:24,"San Lorenzo 25, Nueva Córdoba",Té Verde en Hebras,Té,,3,1617.39,4852.17,Take Away,App,No,0,Ninguna,Julián,Noche,10.5,4,23,20
VTA00521,2025-01-19,16:50,"San Lorenzo 25, Nueva Córdoba",Budín de Limón,Bakery,,5,1234.53,6172.65,En tienda,Efectivo,No,0,Ninguna,Florencia,Mañana,10.7,2,36,31
VTA00522,2025-01-04,07:50,Calle San Lorenzo 47,House Blend,Café en Granos,,3,2412.99,7238.97,Delivery,Efectivo,No,0,Happy Hour,Camila,Noche,5.1,5,40,37
VTA00523,2025-03-19,14:57,"San Lorenzo 25, Nueva Córdoba",Termo Reutilizable,Merchandising,,1,2604.42,2604.42,En tienda,Tarjeta,Sí,15,Combo,Marcos,Noche,2.8,1,29,28
VTA00524,2025-02-10,18:20,Avenida Colón 608,Americano,Bebida Espresso Caliente,Tall,1,1635.72,1635.72,Delivery,Efectivo,Sí,0,Ninguna,Florencia,Tarde,13.1,3,25,24
VTA00525,2025-02-04,14:28,"San Lorenzo 25, Nueva Córdoba",Fosforito de Jamón y Queso,Sándwiches,,5,1665.82,8329.1,En tienda,App,Sí,0,2x1,Luis,Mañana,7.7,1,35,30
VTA00526,2025-04-01,09:54,"San Lorenzo 25, Nueva Córdoba",Caramel Frappuccino,Frappuccino,Venti,2,2085.48,4170.96,En tienda,Tarjeta,No,0,Combo,Camila,Noche,6.4,3,32,30
VTA00527,2025-03-22,12:35,"San Lorenzo 25, Nueva Córdoba",Té Helado de Hibiscus,Té Helado,,3,1294.81,3884.43,Take Away,Efectivo,No,0,Combo,Sofía,Noche,4.1,3,24,21
VTA00528,2025-03-05,12:54,Avenida Colón 608,Té Helado de Hibiscus,Té Helado,,4,1340.87,5363.48,En tienda,Efectivo,Sí,0,Combo,Sofía,Tarde,5.8,5,10,6
VTA00529,2025-03-28,08:58,Calle San Lorenzo 47,Té Verde,Té Caliente,,3,1434.23,4302.69,En tienda,Efectivo,No,0,Combo,Camila,Tarde,9.2,4,33,30
VTA00530,2025-03-22,20:43,"San Lorenzo 25, Nueva Córdoba",Té Chai Latte,Té Caliente,,4,1485.86,5943.44,En tienda,Tarjeta,No,0,Combo,Sofía,Mañana,5.6,1,28,24
VTA00531,2025-02-18,17:39,Calle San Lorenzo 47,Bagel Sandwich,Sándwiches,,2,1659.77,3319.54,Take Away,App,Sí,0,Happy Hour,Julián,Tarde,12.1,5,18,16
VTA00532,2025-01-06,07:18,Avenida Colón 608,Croissant de Manteca,Bakery,,2,1032.82,2065.64,En tienda,Efectivo,No,0,2x1,Julián,Tarde,12.8,5,39,37
VTA00533,2025-02-28,18:42,"San Lorenzo 25, Nueva Córdoba",Cookie con Chips de Chocolate,Bakery,,5,1003.75,5018.75,Delivery,Efectivo,No,0,Ninguna,Sofía,Tarde,9.0,2,24,19
VTA00534,2025-03-15,08:48,Calle San Lorenzo 47,Moneda de Chocolate,Snacks,,5,1009.05,5045.25,Take Away,Tarjeta,No,0,Combo,Marcos,Noche,7.6,2,36,31
VTA00535,2025-03-18,17:02,Avenida Colón 608,Caramel Frappuccino,Frappuccino,Pequeño,2,1603.41,3206.82,Take Away,Efectivo,Sí,0,Happy Hour,Marcos,Noche,8.5,5,12,10
VTA00536,2025-04-01,20:42,Córdoba Shopping,Moneda de Chocolate,Snacks,,4,1161.18,4644.72,Delivery,Tarjeta,No,0,Ninguna,Sofía,Tarde,14.1,1,50,46
VTA00537,2025-01-31,14:00,"San Lorenzo 25, Nueva Córdoba",Bagel Sandwich,Sándwiches,,3,1723.66,5170.98,Take Away,Efectivo,Sí,0,Combo,Julián,Mañana,3.0,4,46,43
VTA00538,2025-02-25,12:30,Córdoba Shopping,Flat White,Bebida Espresso Caliente,Venti,2,1262.52,2525.04,En tienda,App,Sí,10,Combo,Sofía,Mañana,8.5,2,14,12
VTA00539,2025-01-31,20:08,"San Lorenzo 25, Nueva Córdoba",Té Verde,Té Caliente,,5,1444.08,7220.4,Delivery,Efectivo,No,0,Ninguna,Sofía,Mañana,14.4,2,15,10
VTA00540,2025-03-05,19:40,Córdoba Shopping,Té Helado de Hibiscus,Té Helado,,2,1181.41,2362.82,Delivery,App,Sí,10,Happy Hour,Florencia,Mañana,13.7,2,23,21
VTA00541,2025-03-28,07:03,Avenida Colón 608,Vainilla Latte Helado,Bebida Espresso Helada,Tall,5,1537.43,7687.15,En tienda,Efectivo,No,0,2x1,Camila,Tarde,8.9,1,48,43
VTA00542,2025-01-29,14:32,Calle San Lorenzo 47,Skinny Vainilla Latte,Bebida Espresso Caliente,Grande,1,1747.08,1747.08,En tienda,App,Sí,10,2x1,Julián,Noche,9.7,5,25,24
VTA00543,2025-03-19,16:28,"San Lorenzo 25, Nueva Córdoba",Croissant de Manteca,Bakery,,4,1330.06,5320.24,Take Away,Tarjeta,Sí,10,Happy Hour,Luis,Noche,3.6,3,13,9
VTA00544,2025-03-17,07:24,Córdoba Shopping,Té Verde en Hebras,Té,,2,1606.65,3213.3,Take Away,Tarjeta,No,0,2x1,Camila,Noche,9.5,4,24,22
VTA00545,2025-02-19,09:01,Avenida Colón 608,Caramel Frappuccino,Frappuccino,Venti,1,2099.08,2099.08,Delivery,Efectivo,Sí,15,2x1,Luis,Mañana,14.6,4,48,47
VTA00546,2025-03-14,13:26,"San Lorenzo 25, Nueva Córdoba",Cookie con Chips de Chocolate,Bakery,,4,1460.75,5843.0,Delivery,Tarjeta,Sí,10,2x1,Florencia,Noche,8.2,1,26,22
VTA00547,2025-04-14,07:58,Avenida Colón 608,Bagel Sandwich,Sándwiches,,2,1643.35,3286.7,Delivery,App,Sí,0,2x1,Luis,Tarde,5.9,4,14,12
VTA00548,2025-02-10,19:39,"San Lorenzo 25, Nueva Córdoba",Té Helado de Hibiscus,Té Helado,,5,1631.15,8155.75,En tienda,App,Sí,10,Ninguna,Luis,Mañana,9.2,5,12,7
VTA00549,2025-01-18,09:33,Avenida Colón 608,Skinny Vainilla Latte Helado,Bebida Espresso Helada,Tall,3,1780.91,5342.73,En tienda,Tarjeta,Sí,15,Combo,Julián,Noche,5.6,2,18,15
VTA00550,2025-04-02,11:29,Avenida Colón 608,Mix de Frutos Secos,Snacks,,1,714.53,714.53,Delivery,App,No,0,Happy Hour,Julián,Tarde,10.7,1,48,47
VTA00551,2025-02-25,17:25,"San Lorenzo 25, Nueva Córdoba",Vainilla Latte Helado,Bebida Espresso Helada,Pequeño,4,1484.3,5937.2,Delivery,App,Sí,0,Ninguna,Julián,Noche,10.5,5,17,13
VTA00552,2025-03-15,12:30,"San Lorenzo 25, Nueva Córdoba",Wrap de Pollo y Vegetales,Sándwiches,,2,1497.85,2995.7,Delivery,Efectivo,No,0,Happy Hour,Marcos,Tarde,8.1,1,21,19
VTA00553,2025-02-14,16:34,Avenida Colón 608,Muffin de Arándanos,Bakery,,4,1060.88,4243.52,Delivery,App,No,0,Ninguna,Camila,Noche,3.2,3,41,37
VTA00554,2025-01-25,16:00,Calle San Lorenzo 47,Café del Día,Bebida Espresso Caliente,Grande,1,1778.4,1778.4,En tienda,Efectivo,No,0,Combo,Sofía,Mañana,9.5,4,24,23
VTA00555,2025-03-05,16:29,Calle San Lorenzo 47,Té Helado de Hibiscus,Té Helado,,2,1629.37,3258.74,Delivery,App,No,0,Ninguna,Marcos,Tarde,14.4,1,25,23
VTA00556,2025-04-08,10:29,"San Lorenzo 25, Nueva Córdoba",Croissant de Manteca,Bakery,,2,1049.14,2098.28,Delivery,Tarjeta,No,0,Ninguna,Luis,Noche,2.1,5,42,40
VTA00557,2025-03-27,16:17,Avenida Colón 608,Latte Helado,Bebida Espresso Helada,Pequeño,5,1348.13,6740.65,Take Away,Efectivo,No,0,2x1,Luis,Noche,13.8,3,40,35
VTA00558,2025-01-20,16:50,Calle San Lorenzo 47,House Blend,Café en Granos,,2,2627.92,5255.84,En tienda,App,Sí,0,2x1,Florencia,Tarde,8.1,5,38,36
VTA00559,2025-01-02,10:12,"San Lorenzo 25, Nueva Córdoba",Café del Día,Bebida Espresso Caliente,Tall,2,1766.09,3532.18,En tienda,App,No,0,Ninguna,Camila,Noche,4.4,3,11,9
VTA00560,2025-04-02,12:08,Avenida Colón 608,Budín de Limón,Bakery,,2,963.47,1926.94,Delivery,Efectivo,No,0,2x1,Marcos,Noche,9.6,1,36,34
VTA00561,2025-01-06,17:45,Córdoba Shopping,Fosforito de Jamón y Queso,Sándwiches,,1,1950.33,1950.33,Take Away,Efectivo,Sí,10,Combo,Sofía,Mañana,6.8,4,39,38
VTA00562,2025-03-25,13:34,Córdoba Shopping,Croissant de Manteca,Bakery,,4,986.7,3946.8,En tienda,Tarjeta,No,0,2x1,Luis,Mañana,5.0,3,38,34
VTA00563,2025-01-31,10:05,Córdoba Shopping,Té Verde,Té Caliente,,2,1236.81,2473.62,Delivery,Efectivo,No,0,Happy Hour,Julián,Mañana,2.9,5,40,38
VTA00564,2025-03-03,17:30,"San Lorenzo 25, Nueva Córdoba",Taza Edición Especial,Merchandising,,3,2559.35,7678.05,Take Away,App,No,0,2x1,Luis,Noche,3.4,4,48,45
VTA00565,2025-03-25,08:57,Calle San Lorenzo 47,Croissant Relleno con Crema de Avellanas,Bakery,,2,1451.46,2902.92,Take Away,Tarjeta,No,0,Ninguna,Florencia,Tarde,10.4,1,29,27
VTA00566,2025-04-09,20:40,Avenida Colón 608,Mocha,Bebida Espresso Caliente,Tall,2,1584.12,3168.24,Delivery,App,No,0,Ninguna,Marcos,Tarde,9.1,4,43,41
VTA00567,2025-03-10,11:17,"San Lorenzo 25, Nueva Córdoba",Té Verde en Hebras,Té,,2,1930.21,3860.42,Delivery,Efectivo,No,0,Ninguna,Marcos,Tarde,12.6,4,44,42
VTA00568,2025-02-26,14:53,Avenida Colón 608,Té Verde en Hebras,Té,,4,1600.38,6401.52,En tienda,Tarjeta,Sí,0,Happy Hour,Julián,Noche,7.5,1,41,37
VTA00569,2025-04-02,13:35,Calle San Lorenzo 47,Skinny Vainilla Latte Helado,Bebida Espresso Helada,Grande,5,1314.66,6573.3,Delivery,App,No,0,Ninguna,Sofía,Tarde,12.5,5,16,11
VTA00570,2025-02-10,07:55,Avenida Colón 608,Té Verde en Hebras,Té,,4,1924.59,7698.36,En tienda,Efectivo,Sí,10,2x1,Luis,Noche,13.5,4,16,12
VTA00571,2025-02-27,17:36,Avenida Colón 608,Skinny Vainilla Latte Helado,Bebida Espresso Helada,Venti,3,1682.79,5048.37,Delivery,Efectivo,Sí,15,2x1,Sofía,Tarde,12.6,2,37,34
VTA00572,2025-01-08,12:17,Calle San Lorenzo 47,Té Verde en Hebras,Té,,4,1638.44,6553.76,En tienda,App,No,0,Ninguna,Camila,Noche,10.7,1,20,16
VTA00573,2025-01-18,15:33,Avenida Colón 608,House Blend,Café en Granos,,4,2747.44,10989.76,En tienda,Efectivo,No,0,Combo,Camila,Mañana,7.8,3,27,23
VTA00574,2025-03-27,20:15,Córdoba Shopping,Espresso Roast,Café en Granos,,1,2299.99,2299.99,En tienda,Efectivo,No,0,2x1,Luis,Noche,5.0,5,15,14
VTA00575,2025-02-17,07:21,Avenida Colón 608,Té Verde en Hebras,Té,,5,1971.44,9857.2,Take Away,Tarjeta,Sí,0,Happy Hour,Camila,Mañana,3.4,3,32,27
VTA00576,2025-01-22,16:46,Avenida Colón 608,Caramel Frappuccino,Frappuccino,Venti,2,1979.68,3959.36,Take Away,App,Sí,10,Combo,Camila,Noche,11.7,4,28,26
VTA00577,2025-03-01,13:58,Córdoba Shopping,House Blend,Café en Granos,,5,2516.0,12580.0,En tienda,App,Sí,15,Combo,Camila,Tarde,7.3,3,48,43
VTA00578,2025-04-18,15:40,Avenida Colón 608,Vainilla Latte Helado,Bebida Espresso Helada,Pequeño,3,1536.9,4610.7,En tienda,Efectivo,Sí,15,Ninguna,Florencia,Tarde,11.3,5,19,16
VTA00579,2025-01-02,07:19,Calle San Lorenzo 47,Espresso Roast,Café en Granos,,1,2232.0,2232.0,Take Away,Efectivo,No,0,Combo,Florencia,Mañana,13.6,2,25,24
VTA00580,2025-01-06,17:54,"San Lorenzo 25, Nueva Córdoba",Skinny Vainilla Latte Helado,Bebida Espresso Helada,Grande,4,1322.51,5290.04,Delivery,Tarjeta,No,0,Ninguna,Marcos,Mañana,9.5,3,17,13
VTA00581,2025-01-16,07:10,Avenida Colón 608,Caramel Frappuccino,Frappuccino,Tall,2,1745.87,3491.74,Delivery,Efectivo,No,0,Combo,Camila,Tarde,11.6,2,47,45
VTA00582,2025-03-03,12:18,"San Lorenzo 25, Nueva Córdoba",Mix de Frutos Secos,Snacks,,4,978.46,3913.84,Take Away,Tarjeta,No,0,Happy Hour,Camila,Mañana,3.2,5,50,46
VTA00583,2025-03-11,12:12,Córdoba Shopping,Té Helado de Hibiscus,Té Helado,,2,1438.32,2876.64,En tienda,App,No,0,Happy Hour,Marcos,Tarde,14.6,4,26,24
VTA00584,2025-03-12,13:11,Córdoba Shopping,Moneda de Chocolate,Snacks,,2,1044.17,2088.34,Delivery,Efectivo,No,0,Combo,Marcos,Mañana,11.9,3,48,46
VTA00585,2025-03-31,19:48,Avenida Colón 608,Mix de Frutos Secos,Snacks,,2,1173.26,2346.52,Delivery,Tarjeta,No,0,2x1,Luis,Noche,5.0,1,20,18
VTA00586,2025-03-28,18:00,Córdoba Shopping,Termo Reutilizable,Merchandising,,1,3197.94,3197.94,Take Away,Tarjeta,Sí,10,2x1,Marcos,Tarde,6.3,1,14,13
VTA00587,2025-01-17,15:54,Calle San Lorenzo 47,Té Verde,Té Caliente,,2,1579.95,3159.9,Delivery,App,Sí,15,2x1,Marcos,Mañana,14.2,4,13,11
VTA00588,2025-01-05,09:35,Calle San Lorenzo 47,Té Verde,Té Caliente,,5,1387.25,6936.25,Take Away,Efectivo,Sí,15,Combo,Marcos,Tarde,11.7,4,12,7
VTA00589,2025-02-21,10:21,Calle San Lorenzo 47,Moneda de Chocolate,Snacks,,2,910.14,1820.28,En tienda,Tarjeta,Sí,15,Ninguna,Camila,Noche,6.9,1,40,38
VTA00590,2025-03-29,08:38,Córdoba Shopping,Té Verde en Hebras,Té,,3,1841.42,5524.26,Delivery,App,No,0,2x1,Luis,Noche,4.6,3,15,12
VTA00591,2025-03-17,16:09,Córdoba Shopping,Croissant de Manteca,Bakery,,3,1317.48,3952.44,Take Away,Tarjeta,Sí,15,Combo,Sofía,Tarde,10.6,5,11,8
VTA00592,2025-01-26,15:52,Avenida Colón 608,Espresso Roast,Café en Granos,,3,2744.29,8232.87,En tienda,App,No,0,2x1,Julián,Tarde,6.4,5,32,29
VTA00593,2025-02-05,16:51,"San Lorenzo 25, Nueva Córdoba",Té Verde en Hebras,Té,,5,1787.54,8937.7,Take Away,Tarjeta,No,0,2x1,Luis,Noche,4.1,2,19,14
VTA00594,2025-03-26,18:04,Córdoba Shopping,Té Verde en Hebras,Té,,3,1713.75,5141.25,Delivery,App,No,0,2x1,Julián,Noche,12.7,5,23,20
VTA00595,2025-03-01,18:17,Calle San Lorenzo 47,Caramel Frappuccino,Frappuccino,Grande,2,1692.62,3385.24,Take Away,App,No,0,2x1,Julián,Tarde,4.2,2,41,39
VTA00596,2025-03-08,07:59,"San Lorenzo 25, Nueva Córdoba",Cold Brew,Bebida Espresso Helada,Grande,4,1833.7,7334.8,En tienda,Tarjeta,No,0,2x1,Luis,Tarde,5.9,3,45,41
VTA00597,2025-02-07,15:35,Avenida Colón 608,Té Verde en Hebras,Té,,4,1642.81,6571.24,Delivery,Tarjeta,Sí,15,Combo,Luis,Noche,14.7,4,33,29
VTA00598,2025-01-15,12:08,Avenida Colón 608,Termo Reutilizable,Merchandising,,4,3300.82,13203.28,Take Away,Efectivo,No,0,2x1,Luis,Noche,14.3,1,39,35
VTA00599,2025-04-13,13:01,Córdoba Shopping,Té Verde en Hebras,Té,,1,1995.3,1995.3,Take Away,Efectivo,No,0,Ninguna,Luis,Mañana,10.5,4,31,30
VTA00600,2025-03-31,12:34,Avenida Colón 608,Wrap de Pollo y Vegetales,Sándwiches,,3,1970.35,5911.05,Take Away,Efectivo,No,0,Ninguna,Julián,Mañana,13.2,3,43,40
VTA00601,2025-03-23,09:46,Calle San Lorenzo 47,Bagel Sandwich,Sándwiches,,3,1684.83,5054.49,Delivery,Tarjeta,Sí,15,2x1,Florencia,Mañana,13.0,2,18,15
VTA00602,2025-03-21,18:35,Córdoba Shopping,Croissant de Manteca,Bakery,,1,1076.02,1076.02,En tienda,Efectivo,No,0,Happy Hour,Julián,Tarde,8.6,5,39,38
VTA00603,2025-02-14,10:40,Avenida Colón 608,Moneda de Chocolate,Snacks,,2,1151.03,2302.06,Delivery,Efectivo,Sí,15,2x1,Marcos,Noche,11.5,2,27,25
VTA00604,2025-03-29,08:58,"San Lorenzo 25, Nueva Córdoba",Mix de Frutos Secos,Snacks,,3,1023.86,3071.58,Take Away,Tarjeta,No,0,2x1,Julián,Noche,12.3,2,30,27
VTA00605,2025-03-15,07:04,Avenida Colón 608,Caramel Frappuccino,Frappuccino,Grande,2,2093.62,4187.24,Take Away,Efectivo,Sí,0,Combo,Marcos,Noche,2.6,1,20,18
VTA00606,2025-03-06,16:42,Córdoba Shopping,Vainilla Latte,Bebida Espresso Caliente,Tall,5,1694.89,8474.45,En tienda,Tarjeta,Sí,15,2x1,Marcos,Mañana,13.2,5,35,30
VTA00607,2025-01-27,09:19,Avenida Colón 608,Caramel Frappuccino,Frappuccino,Grande,5,1760.45,8802.25,Delivery,App,No,0,Happy Hour,Camila,Mañana,11.9,5,39,34
VTA00608,2025-03-17,13:25,Avenida Colón 608,House Blend,Café en Granos,,3,2469.3,7407.9,Delivery,Tarjeta,Sí,10,2x1,Luis,Noche,3.9,2,23,20
VTA00609,2025-01-27,14:16,Avenida Colón 608,Mix de Frutos Secos,Snacks,,4,1224.66,4898.64,En tienda,Efectivo,Sí,0,Happy Hour,Luis,Tarde,14.9,5,10,6
VTA00610,2025-03-06,16:52,"San Lorenzo 25, Nueva Córdoba",Té Verde,Té Caliente,,4,1234.37,4937.48,En tienda,Efectivo,No,0,Ninguna,Julián,Mañana,11.5,2,49,45
VTA00611,2025-04-15,10:16,Avenida Colón 608,Bagel Sandwich,Sándwiches,,5,1545.8,7729.0,En tienda,Efectivo,No,0,2x1,Luis,Mañana,2.0,4,28,23
VTA00612,2025-03-30,18:30,Calle San Lorenzo 47,Espresso Roast,Café en Granos,,3,2181.13,6543.39,Take Away,Tarjeta,No,0,2x1,Florencia,Tarde,2.1,1,38,35
VTA00613,2025-04-02,12:44,Avenida Colón 608,Té Helado de Hibiscus,Té Helado,,2,1442.47,2884.94,En tienda,Efectivo,Sí,15,Ninguna,Luis,Noche,13.5,3,45,43
VTA00614,2025-04-17,08:24,"San Lorenzo 25, Nueva Córdoba",Té Verde en Hebras,Té,,5,1753.57,8767.85,Delivery,App,No,0,Combo,Camila,Tarde,3.1,3,22,17
VTA00615,2025-04-08,11:17,Calle San Lorenzo 47,Té Verde,Té Caliente,,5,1299.3,6496.5,En tienda,Efectivo,Sí,10,Combo,Luis,Noche,2.2,2,12,7
